Title,Date,Keywords,Genre (Fiction/Nonfiction/etc.),Author,Links,Reviews,Publication,Related Resource,Notes
On Being Included: Racism and Diversity in Institutional Life,2012,"institutional racism, diversity, higher education",nonfication,Sara Ahmed,https://bookshop.org/books/on-being-included-racism-and-diversity-in-institutional-life/9780822352365,,Duke University Press,,
Heavy: An American Memoir,2018,,memoir,Keyse Laymon,https://bookshop.org/books/heavy-an-american-memoir/9781501125669,,Scribner Books,,
Breathe: A Letter to my Sons,2020,"racism, police brutality, parenting, black men","memoir, nonfiction",Imani Perry,https://bookshop.org/books/breathe-a-letter-to-my-sons/9780807076552,,,,
The Red Record: Tabulated Statistics and Alleged Causes of Lynchings in the United States,1895,"lynching, history, statistical data",nonfiction pamphlet,Ida B. Wells-Barnett,https://www.gutenberg.org/files/14977/14977-h/14977-h.htm,,,,
When They Call You a Terrorist: A Black Lives Matter Memoir,2020,"BLM, activism",memoir,Patrisse Khan-Cullors and Asha Bandele,https://us.macmillan.com/books/9781250306906,,St. Martin's Griffin,,
From #Black Lives Matter to Black Liberation: ,2016,"activism, BLM, protests",nonfiction,Keeanga-Yamahtta Taylor,https://www.haymarketbooks.org/books/1368-from-blacklivesmatter-to-black-liberation,,Haymarket Books,,
Give Us the Ballot,,"voting rights, civil rights",Nonfiction,Ari Berman,http://ari-berman.com/give-us-the-ballot/,https://www.washingtonpost.com/opinions/john-lewis-how-we-won-and-are-losing-the-right-to-vote/2015/09/10/5f77e644-50bc-11e5-933e-7d06c647a395_story.html?utm_term=.38fccd311e81,,,
"Invisible Man, Got the Whole World Watching",2017,"memoir, black men, mental health, feminism, LGBTQ",memoir,Mychal Denzel Smith,https://bookshop.org/books/invisible-man-got-the-whole-world-watching-a-young-black-man-s-education/9781568589770,,Bold Type Books,,
Policing Black Lives: State Violence in Canada from Slavery to the Present,2017,"anti-blackness, institutionalized racism, structural racism, police, education, history, slavery",nonfiction,Robyn Maynard,https://fernwoodpublishing.ca/book/policing-black-lives,,Fernwood Publishing,,
The Hate You Give,,"racism, police brutality","YA Novel, Fiction, Juvenile Fiction",Angie Thomas,Summer Reading for Your Woke Kid,,,,"After witnessing her friend's death at the hands of a police officer, Starr Carter's life is complicated when the police and a local drug lord try to intimidate her in an effort to learn what happened the night Kahlil died."
The True American: Murder and Mercy in Texas,2014,,"Nonfiction, True Crime",Anand Giridharadas,,,W. W. Norton and Company,,
"Privilege, Power, and Difference",2/11/2005,,,Allan G. Johnson,,,McGraw-Hill (first published 2001),,Racial Taboo resources
Why Are All the Black Kids Sitting Together in the Cafeteria and Other Conversations about Race 20th anniversary edition,2017,"racism, psychology",nonfiction,Beverly Tatum,https://bookshop.org/books/why-are-all-the-black-kids-sitting-together-in-the-cafeteria-and-other-conversations-about-race/9780465060689,,Basic Books,,
When Colorblindness Isn't the Answer: Humanism and the Challenge of Race,2017,"race, humanism",,Anthony B. Pinn,,https://thehumanist.com/magazine/july-august-2017/arts_entertainment/colorblindness-isnt-answer-humanism-challenge-race#.WV0obIDPbwN.facebook,,,"African American professor, writer, humanist"
Just Mercy: A Story of Justice and Redemption,2014,criminal justice,"Nonfiction, Memoir",Bryan Stevenson,http://bryanstevenson.com/the-book/,,Spiegel & Grau,,Equal Justice Initiative
White Rage: The Unspoken Truth of Our Racial Divide,,"history, structural racism, institutionalized racism, white rage",,Carol Anderson,,17 Books On Race Every White Person Needs To Read,,,
"Towards Collective Liberation: Anti-Racist Organizing, Feminist Praxis, and Movement Building Strategy",2013,"politics, activism",,Chris Crass,http://secure.pmpress.org/index.php?l=product_detail&p=518,,PM Press,,
"Towards the ""Other America"": Anti-Racist Resources for White People Taking Action for Black Lives Matter",,,,Chris Crass,http://www.chriscrass.org/uploads/1/7/7/9/17797213/towards-the-other-america-ebook.pdf,,,,free e-book pdf
Taking Sides: Revolutionary Solidarity and the Poverty of Liberalism,10/20/2015,,,Cindy Milstein (Editor),https://www.akpress.org/taking-sides-e-book.html,,AK Press,,was a post for a free e-book
Citizen: An American Lyric,,"race, racial identity, racial injustice","Essay, Poetry, Art",Claudia Rankine,,17 Books On Race Every White Person Needs To Read,,,
Zeitoun,2009,,Nonfiction,Dave Eggers,,http://www.nola.com/crime/index.ssf/2013/07/zeitoun_found_not_guilty_on_bo.html,,,"Hurricane Katrina, Syrian American, controversey over whether Zeitoun tried to kill his ex-wife"
Called To Rise: A Life in Faithful Service to the Community That Made Me,6/6/2017,"community policing, police reform, criminal justice","Nonfiction, Biography, Memoir, Politics, Law Enforcement",David O. Brown with Michelle Burford,http://www.penguinrandomhouse.com/books/557325/called-to-rise-by-david-o-brown-with-michelle-burford/9781524796549/,Three New Books Discuss How to Confront and Reform Racist Policing,Ballantine Books,Book Review,David O. Brown is a former Dallas Police Chief
"Waking Up White, and Finding Myself in the Story of Race",2014,,Nonfiction,Debby Irving,,,,,"(Cambridge, MA: Elephant Room, 2014)"
Race Talk and the Conspiracy of Silence: Understanding and Facilitating Difficult Dialogues on Race ,2015,,,Derald Wing Sue,,,Wiley,,Racial Taboo resources
Confronting Fascism: Discussion Documents for a Militant Movement,10/10/2002,,,"Don Hamerquist, J Sakai; Xtn (Introduction)",,,,,
Slavery by Another Name: The Re-Enslavement of Black Americans from the Civil War to World War II,2008,"neoslavery, human labor trafficking",,Douglas A. Blackmon,,17 Books On Race Every White Person Needs To Read,Doubleday,,Racial Taboo resources
"Policing the Black Man: Arrest, Prosecution, and Imprisonment",6/11/2017,"criminal justice, policing, implicit bias, racial profiling, mass incarceration, police reform, Black Lives Matter","Nonfiction, Essays, Anthology, Law Enforcement",Edited by Angela J. Davis,http://www.penguinrandomhouse.com/books/537978/policing-the-black-man-by-edited-and-with-an-introduction-by-angela-j-davis/9781101871270/,Three New Books Discuss How to Confront and Reform Racist Policing,Pantheon Books,Book Review,"Angela J. Davis is a law professor and activist
11 essays from scholars and criminal justice practitioners who offer forward-thinking policy suggestions"
Racism Without Racists: Color-Blind Racism and the Persistence of Inequality in America,8/4/2006,"color blind, post-Civil Rights, Black Lives Matter, Donal Trump, race, racism",,Eduardo Bonilla-Silva,,17 Books On Race Every White Person Needs To Read,Rowman & Littlefield Publishers,,Racial Taboo resources
The Half Has Never Been Told: Slavery and the Making of American Capitalism,2016,"slavery, U.S. history 1780–1865, capitalism","nonfiction, history",Edward E. Baptist,,,,,
Three New Books Discuss How to Confront and Reform Racist Policing,7/26/2017,"policing, police reform, books",Book Review,Elizabeth Hinton,https://www.nytimes.com/2017/07/26/books/review/called-to-rise-david-brown-policing-the-black-man-paul-butler.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=second-column-region&region=top-news&WT.nav=top-news,,The New York Times,"Books: Called to Rise, Policing the Black Man, Chokehold",
Yellow: Race in America Beyond Black and White,,"racial identity, race relations, Asian Americans, immigration, affirmative action",,Frank H. Wu,,17 Books On Race Every White Person Needs To Read,,,
"Devil in the Grove: Thurgood Marshall, the Groveland Boys, and the Dawn of a New America",2012,,"Nonfiction, History",Gilbert King,http://www.gilbertking.com/Gilbert.html,,,,2013 Pulitzer Prize winner in general nonfiction
Blood and Thunder,2006,"19th Century U.S. History, Native American History",American History,Hampton Sides,http://www.hamptonsides.com/writing/blood-and-thunder/,http://www.nytimes.com/2006/10/29/books/review/Momaday.t.html?mcubz=0,Doubleday,,An Epic of the American West
Hellhound On His Trail,4/27/2010,,"Nonfiction, American History, True Crime, Civil Rights",Hampton Sides,http://www.hamptonsides.com/writing/hellhound-on-his-trail/,,Doubleday,,
Undoing Border Imperialism,10/15/2013,,,Harsha Walia (Author); Andrea Smith (Introduction),https://www.akpress.org/undoing-border-imperialism-e-book.html,,AK Press,,was a post for a free e-book
Amina's Voice,,"kids, Islamaphobia","Children, Fiction",Hena Khan,Summer Reading for Your Woke Kid,,,,A Pakistani-American Muslim girl struggles to stay true to her family's vibrant culture while simultaneously blending in at school in the wake of a community tragedy.
A People's History of the United States,1980,,"Nonfiction, History",Howard Zinn,http://howardzinn.org/bibliography/books/,,Harper Collins,,https://zinnedproject.org/materials/a-peoples-history-of-the-united-states/
How to Be an Antiracist,2019,"antiracism, racism, intersectionality",nonfiction,Ibram X. Kendi,,,,,
