Title,Author,Date,Keywords,Type,Links,Related Resource,Notes
Alternatives to Calling the Police during a Mental Health Crisis,,"$2,020",,Facebook page,,,
#BlackInTheIvory,,"$2,020","higher education, racism, institutional racism",Twitter hashtag,https://twitter.com/search?q=%23BlackintheIvory&src=typeahead_click,,"Twitter hashtag describing the experiences of Black scholars, professors, administrators, and graduate students. "
The Black Jewish Experience,Association of Jewish Libraries,,"novels, children's literature, race, Judaism",booklist,https://jewishlibraries.org/blog/id/461,,
Minding the Gap: The Distance between Compositional Diversity and Institutional Transformation (UIUC Dean's Diversity Lecture Series),Dafina-Lazarus Stewart,"$2,016","institutional racism, racial equity, racial justice",video recording of university lecture,https://www.youtube.com/watch?v=2aZYd3KmrkE,,
Black Lives Matter Instructional Library,,"$2,020","children, history, picture books",audio bookshelf,https://docs.google.com/presentation/d/18pOK3roiwPQ9WF7D2wA0o7Ktr8KwAJeZfn-o6O8T__Y/mobilepresent?fbclid=IwAR3XslyPkN1J8Hr-xtnS4JRdf1bZsscuR8QZ-mPk-DA47-Y-pkJGA5ed_dY&slide=id.p,,"A virtual bookshelf with links to video read-alouds of children's books related to black history, Black Lives Matter, activism, etc. Includes a bookshelves of books in (and performed in) Spanish"
Anti-Racism Resources for All Ages,Nicole A. Cooke,"$2,020","racism, antiracism, parenting, children",padlet,https://padlet.com/nicolethelibrarian/nbasekqoazt336co?fbclid=IwAR0OrbQHHc1OpX5D3vJsFKIF1xsauBWqZnWURIl6bwGAqVbwKeb8I4CZjWA,,
Brené with Ibram X. Kendi,"Ibram X. Kendi, Brené Brown",6/3/2020,"racism, internal racism, racial inequality, antiracism",podcast episode,https://brenebrown.com/podcast/brene-with-ibram-x-kendi-on-how-to-be-an-antiracist/,,
"Notice the Rage, Notice the Silence--Episode of the ""On Being"" Podcast with Krista Tippett",Resmaa Menakem,"$2,020","racism, trauma, therapy",podcast episode,https://podcasts.apple.com/us/podcast/resmaa-menakem-notice-the-rage-notice-the-silence/id150892556?i=1000476829447,On Being Podcast,
Black Farmer Calls Out Liberal Racism In Powerful Facebook Message,Zeba Blay,5/24/2017,,newscast,Huffpost Black Voices,Articles: Albe. Co. Farm Owner Offers Insight on Race in Viral Facebook Post,"video in article is same story as in ""Albe. Co. Farm Owner Offers Insight on Race in Viral Facebook Post"" article used in newsletter in May"
Black History Salute - a playlist by Spotify,,,,music,,,
Black Lives Matter CU Drop Ins!,BLMCU,"$2,015",,podcast,Black Lives Matter CU Drop Ins!,,BLMCU's mini- podcasts in collaboration with WEFT
Book Club Meeting Sparks Controversy,Emily Braun,3/6/2017,,newscast,http://www.illinoishomepage.net/news/local-news/book-club-meeting-sparks-controversy/667696200,,
Busted: America's Poverty Myths,,,,podcast,,,podcast suggestions FB community
Call Your Girlfriend,,,,podcast,,,podcast suggestions FB community
Civics 101,,,,podcast,,,podcast suggestions FB community
Code Switch,NPR's Code Switch,,,podcast,http://www.npr.org/podcasts/510312/codeswitch,,podcast suggestions FB community
